suhu,kelembaban,curah_hujan
22.1,84.23055708180709,0.0
23.8,86.0,4.65
23.1,88.0,1.0
22.1,84.23055708180709,0.0
22.7,94.0,0.0
22.1,84.23055708180709,0.0
23.5,86.0,29.48
22.6,92.0,10.0
21.0,96.0,46.0
20.7,96.0,7.0
21.2,90.0,12.5
22.2,89.0,1.6
23.2,86.0,27.5
21.3,94.0,7.5
22.2,94.0,38.63880952380953
22.1,84.23055708180709,0.0
21.339999999999996,91.0,74.2
21.6,94.0,35.0
22.1,84.23055708180709,0.0
21.7,93.0,60.5
21.339999999999996,91.0,73.5
22.1,84.23055708180709,0.0
21.62,92.9,11.0
21.910000000000004,89.8,6.5
23.2,86.0,30.0
21.819999999999997,91.6,52.0
22.365333333333332,82.4,0.5
22.069999999999997,92.9,12.4
21.279999999999998,91.3,56.9
23.6,86.0,10.2
21.64,94.0,6.6
23.500000000000004,83.6,0.3
22.1,84.23055708180709,0.0
22.089999999999996,93.6,36.0
24.2,86.0,10.32
22.1,84.23055708180709,0.0
21.810000000000002,93.0,87.6
22.3,93.0,5.5
21.82,94.1,71.0
24.2,89.0,2.0
22.459999999999997,90.3,94.0
22.1,84.23055708180709,0.0
24.9,81.0,1.0
22.5,92.0,0.0
22.4,92.0,38.0
22.1,84.23055708180709,0.0
24.3,85.0,11.4
22.9,92.0,0.8
22.4,93.0,12.371333333333334
22.2,95.0,63.5
22.550833333333333,93.1,1.0
22.5,94.0,5.085
21.77,91.4,14.5
22.1,87.0,21.0
22.1,84.23055708180709,0.0
23.3,87.0,21.009999999999998
22.8,91.0,2.0
21.63,94.4,4.5
22.1,84.23055708180709,0.0
22.6,86.0,0.96
22.1,84.23055708180709,0.0
22.5,85.0,0.72
23.1,80.0,0.0
18.0,94.0,0.0
23.06415873015873,77.0,0.0
24.2,76.0,0.05
19.8,95.0,0.0
22.1,84.23055708180709,0.0
22.8,79.0,0.0
23.9,77.0,0.96
22.1,84.23055708180709,0.0
24.1,69.0,0.0
22.1,84.23055708180709,0.0
22.1,84.23055708180709,0.0
22.9,81.0,1.0
22.1,84.23055708180709,0.0
23.7,75.0,0.0
21.5,87.0,0.0
24.7,78.0,0.0
24.5,82.0,4.050000000000001
21.1,88.0,0.0
22.6,86.0,0.96
23.0,84.0,7.0
24.5,81.0,0.6599999999999999
23.8,82.0,2.28
20.3,85.0,0.0
23.9,71.0,0.0
24.2,79.0,0.0
23.6,87.0,1.0699999999999998
23.6,84.0,6.4
21.3,87.0,1.2
22.5,78.0,0.24
22.0,83.0,0.0
21.3,87.0,1.2
21.6,82.0,0.0
18.4,96.0,25.05
22.4,92.0,17.205833333333334
23.2,83.0,2.0
21.9,87.0,2.4
22.5,77.0,0.54
18.6,91.0,7.2559999999999985
22.6,85.0,0.8099999999999999
22.2,86.0,1.0
22.7,85.0,1.4500000000000002
21.1,92.0,6.9208333333333325
22.7,78.8,0.9
21.5,90.6,36.55633333333334
22.2,90.0,2.0
22.4,86.0,0.0
21.9,92.0,11.5
21.4,96.0,5.937333333333332
22.3,92.2,24.207333333333334
21.5,88.0,0.2
22.7,90.0,0.0
21.5,90.0,14.857726190476189
23.500000000000004,83.6,0.3
21.6,70.91,2.67
21.5,89.0,0.0
19.5,81.02000000000001,0.0
21.9,92.6,12.78125
22.0,86.0,1.1625
21.2,84.0,0.0
20.5,83.0,0.0
20.1,83.0,0.0
21.6,70.0,2.67
21.0,95.3,46.290000000000006
22.1,84.23055708180709,0.0
20.3,85.0,0.0
20.0,84.0,0.0
20.8,85.0,0.0
21.2,82.14523809523811,0.0
21.8,85.67083333333333,0.0
21.3,82.0,0.0
23.2,64.0,0.0
20.9,78.0,0.0
20.6,83.91499999999999,0.0
21.6,76.0,0.0
21.6,78.0,0.0
23.1,73.0,0.0
21.2,82.14523809523811,0.0
21.8,85.67083333333333,0.0
22.6,80.0,0.0
22.3,78.0,0.0
23.8,78.56376984126983,0.0
21.6,82.8849988899989,0.0
19.5,81.02000000000001,0.0
20.8,95.0,12.45
21.1,79.0,0.0
20.0,83.7,0.0
22.1,84.23055708180709,0.0
20.7,94.7,6.6466666666666665
21.1,93.8,39.69833333333334
21.5,77.0,0.0
20.3,86.50666666666666,0.0
18.8,85.7,0.0
21.6,70.91,2.67
21.6,70.91,2.67
22.1,84.23055708180709,0.0
22.9,78.0,0.5800000000000001
21.9,78.0,0.0
21.0,95.3,46.290000000000006
22.5,79.94,0.24
23.8,74.0,0.0
23.5,87.2,9.72
21.2,90.9,3.2399999999999998
21.8,85.67083333333333,0.0
22.4,82.24,0.32
21.5,82.0,0.0
22.0,82.0,0.0
21.0,80.0,0.0
21.2,90.9,3.2399999999999998
22.1,84.23055708180709,0.0
20.7,70.0,2.67
22.1,67.0,0.4
23.5,64.0,0.0
22.2,86.1,27.089999999999996
22.3,92.2,24.207333333333334
22.7,87.5232683982684,0.0
22.8,73.0,0.96
22.1,79.0,0.0
23.2,82.8,9.040000000000001
21.7,85.6772619047619,0.0
21.8,85.0,3.0
22.5,65.0,0.9
21.8,70.0,0.0
22.3,92.2,24.207333333333334
22.5,83.31777777777778,0.2
23.0,71.0,0.18
22.7,84.0,0.0
22.3,74.0,3.07
20.9,94.0,25.689999999999998
23.6,88.2,17.77
25.4,60.0,0.0
23.2,68.0,0.0
23.4,64.0,0.0
23.0,86.63734126984127,0.0
23.9,74.24222222222221,0.0
23.3,79.86178571428572,0.0
21.6,76.0,2.67
22.3,68.0,0.4
22.7,89.0,13.531666666666666
23.6,88.2,17.77
24.3,65.0,0.0
22.7,81.0,0.0
24.6,60.0,0.1
22.6,89.0,20.711666666666666
24.8,72.72420634920636,0.0
24.3,70.0,0.0
23.4,78.0,0.0
22.8,74.0,0.96
23.8,78.56376984126983,0.0
24.3,75.77515151515152,0.0
24.3,69.0,0.0
25.4,61.0,0.0
24.9,70.0,8.7
25.3,72.75,0.0
24.9,73.59615079365079,0.0
23.3,68.0,0.0
24.7,59.0,0.0
24.4,57.0,1.45
23.9,74.24222222222221,0.0
29.7,75.0,0.0
24.3,70.0,0.0
24.7,63.0,0.0
24.6,65.0,0.1
24.6,84.9,2.0800000000000005
26.9,67.3,0.0
25.0,69.0,0.0
25.7,65.0,0.0
24.7,78.0,0.0
23.0,78.0,0.45
25.0,67.0,0.0
25.2,75.0,0.0
24.0,79.0,0.0
