TANGGAL,TAVG,RH_AVG,RR
8/2/2023,22.8,89,61.5
9/2/2023,,,3.7
10/2/2023,23.3,86,33
11/2/2023,22.4,90,12
12/2/2023,22.5,91,16.3
13-02-2023,22.1,92,14.7
14-02-2023,21.4,93,20.3
15-02-2023,,,36
16-02-2023,21.5,94,3.9
17-02-2023,21.9,93,48
18-02-2023,22.6,90,18.2
19-02-2023,22.3,92,91.5
20-02-2023,19.4,96,60
21-02-2023,22.1,92,19.9
22-02-2023,,,64
23-02-2023,23.5,86,49
24-02-2023,,,1.6
25-02-2023,,,1.8
26-02-2023,,,22.5
27-02-2023,21.4,89,11.2
28-02-2023,23.1,88,13.5
1/3/2023,,,15.7
2/3/2023,20.9,96,9
3/3/2023,22.9,88,30.5
4/3/2023,,,0
5/3/2023,,,
6/3/2023,22.8,88,1
7/3/2023,22.4,90,0
8/3/2023,21.7,92,0
9/3/2023,,,25
10/3/2023,23.2,88,
11/3/2023,,,
12/3/2023,22.9,88,18
13-03-2023,22,90,1.4
14-03-2023,,,19.4
15-03-2023,22.9,83,19.4
16-03-2023,,,
17-03-2023,23.8,86,
18-03-2023,23.1,88,1
19-03-2023,,,8888
20-03-2023,22.7,94,0
21-03-2023,,,
22-03-2023,23.5,86,
23-03-2023,22.6,92,10
24-03-2023,21,96,46
25-03-2023,20.7,96,7
26-03-2023,21.2,90,12.5
27-03-2023,22.2,89,1.6
28-03-2023,23.2,86,27.5
29-03-2023,21.3,94,7.5
30-03-2023,22.2,94,8888
31-03-2023,,,
1/4/2023,,,74.2
2/4/2023,21.6,94,35
3/4/2023,,,
4/4/2023,21.7,93,60.5
5/4/2023,,,73.5
6/4/2023,,,
7/4/2023,,,11
8/4/2023,,,6.5
9/4/2023,23.2,86,30
10/4/2023,,,52
11/4/2023,,,0.5
12/4/2023,,,12.4
13-04-2023,,,56.9
14-04-2023,23.6,86,
15-04-2023,,,6.6
16-04-2023,,,0.3
17-04-2023,,,
18-04-2023,,,36
19-04-2023,24.2,86,
20-04-2023,,,
21-04-2023,,,87.6
22-04-2023,22.3,93,5.5
23-04-2023,,,71
24-04-2023,24.2,89,2
25-04-2023,,,94
26-04-2023,,,
27-04-2023,24.9,81,1
28-04-2023,22.5,92,0
29-04-2023,22.4,92,38
30-04-2023,,,
1/5/2023,24.3,85,11.4
2/5/2023,22.9,92,0.8
3/5/2023,22.4,93,
4/5/2023,22.2,95,63.5
5/5/2023,,,1
6/5/2023,22.5,94,
7/5/2023,,,14.5
8/5/2023,22.1,87,21
9/5/2023,,,
10/5/2023,23.3,87,
11/5/2023,22.8,91,2
12/5/2023,,,4.5
13-05-2023,,,0
14-05-2023,22.6,86,
15-05-2023,,,
16-05-2023,22.5,85,
17-05-2023,23.1,80,0
18-05-2023,18,94,0
19-05-2023,,77,0
20-05-2023,24.2,76,
21-05-2023,19.8,95,0
22-05-2023,,,
23-05-2023,22.8,79,0
24-05-2023,23.9,77,8888
25-05-2023,,,
26-05-2023,24.1,69,
27-05-2023,,,0
28-05-2023,,,0
29-05-2023,22.9,81,
30-05-2023,,,
31-05-2023,23.7,75,
1/6/2023,21.5,87,0
2/6/2023,24.7,78,0
3/6/2023,24.5,82,
4/6/2023,21.1,88,0
5/6/2023,22.6,86,
6/6/2023,23,84,7
7/6/2023,24.5,81,
8/6/2023,23.8,82,8888
9/6/2023,20.3,85,8888
10/6/2023,23.9,71,
11/6/2023,24.2,79,0
12/6/2023,23.6,87,
13-06-2023,23.6,84,6.4
14-06-2023,21.3,87,
15-06-2023,22.5,78,
16-06-2023,22,83,
17-06-2023,21.3,87,
18-06-2023,21.6,82,
19-06-2023,18.4,96,
20-06-2023,22.4,92,
21-06-2023,23.2,83,2
22-06-2023,21.9,87,
23-06-2023,22.5,77,
24-06-2023,18.6,91,
25-06-2023,22.6,85,
26-06-2023,22.2,86,1
27-06-2023,22.7,85,
28-06-2023,21.1,92,
29-06-2023,22.7,,0.9
30-06-2023,21.5,,
1/7/2023,22.2,90,2
2/7/2023,22.4,86,0
3/7/2023,21.9,92,11.5
4/7/2023,21.4,,
5/7/2023,22.3,,
6/7/2023,21.5,88,0.2
7/7/2023,22.7,90,0
8/7/2023,21.5,90,
9/7/2023,,,0.3
10/7/2023,21.6,,
11/7/2023,21.5,89,0
12/7/2023,19.5,,
13-07-2023,21.9,,
14-07-2023,22,86,
15-07-2023,21.2,84,
16-07-2023,20.5,83,0
17-07-2023,20.1,83,
18-07-2023,21.6,70,
19-07-2023,21,,
20-07-2023,,,
21-07-2023,20.3,85,
22-07-2023,20,84,0
23-07-2023,20.8,85,0
24-07-2023,21.2,,0
25-07-2023,21.8,,0
26-07-2023,21.3,82,0
27-07-2023,23.2,64,0
28-07-2023,20.9,78,0
29-07-2023,20.6,,0
30-07-2023,21.6,76,0
31-07-2023,21.6,78,0
